Date	1W
27.04.2005	27.72
28.04.2005	27.793
29.04.2005	27.771
03.05.2005	27.795
04.05.2005	27.7786
05.05.2005	27.79
06.05.2005	27.8095
11.05.2005	27.8484
12.05.2005	27.8812
13.05.2005	27.9553
16.05.2005	27.9995
17.05.2005	27.9828
18.05.2005	27.99
19.05.2005	27.9675
20.05.2005	28.0192
23.05.2005	28.0455
24.05.2005	28.017
25.05.2005	28.03
26.05.2005	28.085
27.05.2005	28.085
31.05.2005	28.2455
01.06.2005	28.3913
02.06.2005	28.355
03.06.2005	28.3605
06.06.2005	28.4013
07.06.2005	28.3955
08.06.2005	28.3437
09.06.2005	28.4362
15.06.2005	28.5663
17.06.2005	28.516
20.06.2005	28.521
21.06.2005	28.577
22.06.2005	28.576
23.06.2005	28.6575
24.06.2005	28.6538
27.06.2005	28.57
28.06.2005	28.643
29.06.2005	28.69
30.06.2005	28.635
01.07.2005	28.635
04.07.2005	28.795
05.07.2005	28.8363
06.07.2005	28.835
07.07.2005	28.83
08.07.2005	28.781
11.07.2005	28.7188
12.07.2005	28.5875
13.07.2005	28.65
14.07.2005	28.67
15.07.2005	28.6997
18.07.2005	28.6857
19.07.2005	28.705
20.07.2005	28.665
21.07.2005	28.615
22.07.2005	28.645
27.07.2005	28.7059
28.07.2005	28.645
29.07.2005	28.635
01.08.2005	28.6
02.08.2005	28.58
03.08.2005	28.49
04.08.2005	28.42
05.08.2005	28.42
08.08.2005	28.415
09.08.2005	28.4
10.08.2005	28.405
11.08.2005	28.325
12.08.2005	28.305
15.08.2005	28.415
16.08.2005	28.45
17.08.2005	28.47
18.08.2005	28.5725
19.08.2005	28.61
22.08.2005	28.54
23.08.2005	28.554
24.08.2005	28.495
25.08.2005	28.45
26.08.2005	28.43
29.08.2005	28.505
01.09.2005	28.4163
05.09.2005	28.15
06.09.2005	28.225
07.09.2005	28.24
08.09.2005	28.285
09.09.2005	28.26
12.09.2005	28.39
13.09.2005	28.39
14.09.2005	28.3
19.09.2005	28.43
21.09.2005	28.35
22.09.2005	28.42
23.09.2005	28.495
26.09.2005	28.5463
27.09.2005	28.545
28.09.2005	28.535
29.09.2005	28.525
30.09.2005	28.4827
03.10.2005	28.6537
04.10.2005	28.6239
05.10.2005	28.5242
06.10.2005	28.435
07.10.2005	28.4786
10.10.2005	28.4973
11.10.2005	28.5771
12.10.2005	28.5584
13.10.2005	28.55
17.10.2005	28.5513
18.10.2005	28.6187
19.10.2005	28.5901
20.10.2005	28.5763
21.10.2005	28.635
24.10.2005	28.595
09.11.2005	28.8246
10.11.2005	28.843
11.11.2005	28.8547
15.11.2005	28.83
16.11.2005	28.8919
17.11.2005	28.805
18.11.2005	28.77
21.11.2005	28.835
22.11.2005	28.72
23.11.2005	28.73
24.11.2005	28.7613
25.11.2005	28.87
28.11.2005	28.68
29.11.2005	28.77
30.11.2005	28.8122
02.12.2005	28.9664
05.12.2005	28.905
06.12.2005	28.915
07.12.2005	28.9864
09.12.2005	28.87
13.12.2005	28.733
14.12.2005	28.6876
15.12.2005	28.6869
19.12.2005	28.6525
20.12.2005	28.7981
21.12.2005	28.8199
22.12.2005	28.8006
23.12.2005	28.7746
26.12.2005	28.7978
27.12.2005	28.835
28.12.2005	28.8218
29.12.2005	28.7916
30.12.2005	28.745
02.01.2006	28.7453
03.01.2006	28.7453
04.01.2006	28.7453
05.01.2006	28.6739
06.01.2006	28.6739
09.01.2006	28.6739
10.01.2006	28.497
11.01.2006	28.4175
12.01.2006	28.471
13.01.2006	28.3863
16.01.2006	28.2503
17.01.2006	28.282
18.01.2006	28.2816
19.01.2006	28.239
20.01.2006	28.2164
23.01.2006	27.9497
24.01.2006	27.9589
25.01.2006	27.9723
26.01.2006	27.9833
27.01.2006	28.09
30.01.2006	28.1329
31.01.2006	28.0716
01.02.2006	28.1621
02.02.2006	28.1406
03.02.2006	28.222
06.02.2006	28.2578
07.02.2006	28.2464
08.02.2006	28.2788
09.02.2006	28.2176
10.02.2006	28.2774
13.02.2006	28.1815
14.02.2006	28.1696
15.02.2006	28.209
16.02.2006	28.2082
17.02.2006	28.1829
20.02.2006	28.1515
